student,task,time,pathway_level,score
0864109,88063,ft,L3,0
0864109,81175,ft,L3,0
9893125,88063,ft,L3,0
9893125,81175,ft,L3,0
4971767,88063,ft,L3,1
4971767,81175,ft,L3,0
8978593,56400,ft,L1,1
8978593,96748,ft,L2,1
8978593,56741,ft,L3,1
8978593,54596,ft,L2,1
8978593,64967,ft,L1,1
8978593,13080,ft,L3,1
8978593,97634,ft,L2,1
8978593,27971,ft,L3,1
8978593,06238,ft,L2,1
8978593,00592,ft,L1,1
8978593,10231,ft,L2,0
8978593,63088,ft,L3,1
8978593,14415,ft,L1,1
0554061,88063,ft,L3,0
0554061,81175,ft,L3,0
6748196,88063,ft,L3,0
6748196,81175,ft,L3,1
5231294,56400,ft,L1,1
5231294,96748,ft,L2,1
5231294,56741,ft,L3,1
5231294,54596,ft,L2,1
5231294,64967,ft,L1,1
5231294,13080,ft,L3,1
5231294,97634,ft,L2,1
5231294,27971,ft,L3,0
5231294,06238,ft,L2,1
5231294,00592,ft,L1,1
5231294,10231,ft,L2,1
5231294,63088,ft,L3,1
5231294,14415,ft,L1,1
3507175,88063,ft,L3,0
3507175,81175,ft,L3,0
3681220,56400,ft,L1,1
3681220,96748,ft,L2,1
3681220,56741,ft,L3,0
3681220,54596,ft,L2,1
3681220,64967,ft,L1,1
3681220,13080,ft,L3,0
3681220,97634,ft,L2,1
3681220,27971,ft,L3,0
3681220,06238,ft,L2,1
3681220,00592,ft,L1,1
3681220,10231,ft,L2,1
3681220,63088,ft,L3,0
3681220,14415,ft,L1,1
6684978,88063,ft,L3,0
6684978,81175,ft,L3,0
7763384,56400,ft,L1,1
7763384,96748,ft,L2,1
7763384,56741,ft,L3,0
7763384,54596,ft,L2,1
7763384,64967,ft,L1,1
7763384,13080,ft,L3,0
7763384,97634,ft,L2,1
7763384,27971,ft,L3,0
7763384,06238,ft,L2,1
7763384,00592,ft,L1,1
7763384,10231,ft,L2,1
7763384,63088,ft,L3,0
7763384,14415,ft,L1,0
1913897,56400,ft,L1,1
1913897,96748,ft,L2,1
1913897,56741,ft,L3,1
1913897,54596,ft,L2,1
1913897,64967,ft,L1,1
1913897,13080,ft,L3,0
1913897,97634,ft,L2,1
1913897,27971,ft,L3,0
1913897,06238,ft,L2,1
1913897,00592,ft,L1,1
1913897,10231,ft,L2,1
1913897,63088,ft,L3,0
1913897,14415,ft,L1,1
0692477,56400,ft,L1,1
0692477,96748,ft,L2,1
0692477,56741,ft,L3,1
